# text	codes
三天三夜说不完	so tc so ye uu bj wo
三天两头	so tc lg tt
三天打鱼	so tc dy yj
三头六臂	so tt lb bn
三套	so ta
三好学生	so ha xf ui
三妻四妾	so qn sn qv
三姑六婆	so gj lb pu
三字经	so zn jl
三季度	so jn dj
三寸不烂之舌	so cd bj lo in ue
三寸之舌	so cd in ue
三寸金莲	so cd jm lc
三小时	so xr un
三层	so ci
三岁	so sk
三岁小孩	so sk xr hx
三岁小孩都知道	so sk xr hx dt in da
三峡	so xw
三年不开张	so nc bj kx is
三年不鸣	so nc bj ml
三年级	so nc jn
三张	so is
三心两意	so xm lg yn
三心二意	so xm ah yn
三思	so sn
三思而行	so sn ah xl
三战全胜	so io qh ui
三把火	so by hu
三拳两脚	so qh lg jr
三排	so px
三教九流	so jr jb lb
三文鱼	so wz yj
三方	so fs
三方面	so fs mc
三明治	so ml in
三星	so xl
三星级	so xl jn
三更	so gi
三更半夜	so gi bo ye
三更灯火五更鸡	so gi di hu wj gi jn
三月	so yf
三月不知肉味	so yf bj in rt wp
三月份	so yf fz
三本	so bz
三条路	so tr lj
三枚	so mp
三次	so cn
三步并作两步	so bj bl zu lg bj
三民主义	so mm ij yn
三流	so lb
三灾八难	so zx by no
三点	so dc
三班倒	so bo da
三瓶	so pl
三生有幸	so ui yt xl
三番五次	so fo wj cn
三番四次	so fo sn cn
三百	so bx
三百六十行	so bx lb un xl
三皇五帝	so hg wj dn
三盆	so pz
三盒	so he
三盘	so po
三种	so iq
三等奖	so di jg
三篇	so pc
三级	so jn
三纲五常	so gs wj vs
三维	so wp
三缄其口	so jc qn kt
三缺一	so qf yn
三聚氰胺	so jj ql ar
三花聚顶	so hw jj dl
三观	so gh
三观不正	so gh bj ii
三角	so jr
三角形	so jr xl
三言两语	so yo lg yj
三贞九烈	so iz jb lv
三足鼎立	so zj dl ln
三轮车	so ld ve
三辆	so lg
三连冠	so lc gh
三通	so tq
三遍	so bc
三部曲	so bj qj
三长两短	so vs lg dh
三门	so mz
三阳开泰	so ys kx tx
三陪	so pp
三顾茅庐	so gj ma lj
三餐	so co
三驾马车	so jw my ve
三魂七魄	so hd qn pu
上	us / us;e
上一次	us yn cn
上上	us us
上上下下	us us xw xw
上上签	us us qc
上下	us xw
上下一心	us xw yn xm
上下五千年	us xw wj qc nc
上下其手	us xw qn ut
上下左右	us xw zu yt
上下文	us xw wz
上下班	us xw bo
上下铺	us xw pj
上不去	us bj qj
上不着天	us bj ia tc
上个	us ge
上个世纪	us ge un jn
上了	us le
上了年纪	us le nc jn
上了贼船	us le zp vh
上交	us jr
上传	us vh
上体	us tn
上兵伐谋	us bl fy mt
上冲	us vq
上前	us qc
上升	us ui
上午	us wj'
上午好	us wj ha
上半夜	us bo ye
上半年	us bo nc
上半辈子	us bo bp zn
上半部分	us bo bj fz
上去	us qj
上古	us gj
上句	us jj
上台	us tx
上司	us sn
上吊	us dr'
上吐下泻	us tj xw xv
上周	us it
上回	us hk
上图	us tj
上场	us vs
上坟	us fz
上坡	us pu
上天	us tc
上天入地	us tc rj dn
上天无路	us tc wj lj
上头	us tt
上学	us xf
上官	us gh
上宾	us bm
上将	us jg
上层	us ci
上层建筑	us ci jc ij
上屏	us pl
上山	us uo
上山容易下山难	us uo rq yn xw uo no
上岗	us gs
上岸	us ar
上市	us un
上市公司	us un gq sn
上帝	us dn
上帝保佑	us dn ba yt
上年	us nc
上年同期	us nc tq qn
上床	us vg
上座	us zu
上当	us ds
上当了	us ds le
上当受骗	us ds ut pc
上得厅堂	us de tl ts
上情下达	us ql xw dy
上房揭瓦	us fs jv wy
上手	us ut
上扬	us ys
上报	us ba
上排	us px
上操	us ca
上攻	us gq
上文	us wz
上方	us fs
上无片瓦	us wj pc wy
上旬	us xd
上映	us yl
上月	us yf
上有老下有小	us yt la xw yt xr
上期	us qn
上来	us lx
上校	us xr
上桌	us iu
上梁不正下梁歪	us lg bj ii xw lg wx
上楼	us lt
上榜	us bs
上次	us cn
上气不接下气	us qn bj jv xw qn
上流	us lb
上浮	us fj
上海	us hx
上海交大	us hx jr dy
上海大学	us hx dy xf
